Offering,Date
Virunga,"November 7, 2014"
My Own Man,"March 6, 2015"
The Other One: The Long Strange Trip of Bob Weir,"May 22, 2015"
Hot Girls Wanted,"May 29, 2015"
"What Happened, Miss Simone?","June 26, 2015"
Tig,"July 17, 2015"
Keith Richards: Under the Influence,"September 18, 2015"
Winter on Fire: Ukraine's Fight for Freedom,"October 9, 2015"
My Beautiful Broken Brain,"March 18, 2016"
Team Foxcatcher,"April 29, 2016"
Tony Robbins: I Am Not Your Guru,"July 15, 2016"
I'll Sleep When I'm Dead,"August 19, 2016"
Audrie & Daisy,"September 23, 2016"
Amanda Knox,"September 30, 2016"
13th,"October 7, 2016"
Sky Ladder: The Art of Cai Guo-Qiang,"October 14, 2016"
Into the Inferno,"October 28, 2016"
The Ivory Game,"November 4, 2016"
Casting JonBenet,"April 28, 2017"
The Mars Generation,"May 5, 2017"
Get Me Roger Stone,"May 12, 2017"
Laerte-se,"May 19, 2017"
Joshua: Teenager vs. Superpower,"May 26, 2017"
CounterPunch,"June 16, 2017"
Nobody Speak: Trials of the Free Press,"June 23, 2017"
Chasing Coral,"July 14, 2017"
Icarus,"August 4, 2017"
Strong Island,"September 15, 2017"
Gaga: Five Foot Two,"September 22, 2017"
The Death and Life of Marsha P. Johnson,"October 6, 2017"
Kingdom of Us,"October 13, 2017"
One of Us,"October 20, 2017"
Joan Didion: The Center Will Not Hold,"October 27, 2017"
"Jim & Andy: The Great Beyond – Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","November 17, 2017"
Saving Capitalism,"November 21, 2017"
Cuba and the Cameraman,"November 24, 2017"
Voyeur,"December 1, 2017"
Seeing Allred,"February 9, 2018"
Take Your Pills,"March 16, 2018"
Mercury 13,"April 20, 2018"
The Rachel Divide,"April 27, 2018"
Recovery Boys,"June 29, 2018"
The Bleeding Edge,"July 27, 2018"
City of Joy,"September 7, 2018"
Reversing Roe,"September 13, 2018"
Quincy,"September 21, 2018"
Two Catalonias,"September 28, 2018"
Feminists: What Were They Thinking?,"October 12, 2018"
Shirkers,"October 26, 2018"
They'll Love Me When I'm Dead,"November 2, 2018"
The American Meme,"December 7, 2018"
Struggle: The Life and Lost Art of Szukalski,"December 21, 2018"
Fyre: The Greatest Party That Never Happened,"January 18, 2019"
Antoine Griezmann: The Making of a Legend,"March 21, 2019"
The Legend of Cocaine Island,"March 29, 2019"
Homecoming: A Film by Beyoncé,"April 17, 2019"
Brené Brown: The Call to Courage,"April 19, 2019"
Grass Is Greener,"April 20, 2019"
Knock Down the House,"May 1, 2019"
The Black Godfather,"June 7, 2019"
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"June 12, 2019"
The Edge of Democracy,"June 19, 2019"
Parchis: The Documentary,"July 10, 2019"
The Great Hack,"July 24, 2019"
Our Planet - Behind the Scenes,"August 4, 2019"
Enter the Anime,"August 5, 2019"
American Factory,"August 21, 2019"
Travis Scott: Look Mom I Can Fly,"August 28, 2019"
The Crystal Calls Making the Dark Crystal: Age of Resistance,"August 31, 2019"
Evelyn,"September 10, 2019"
"Hello Privilege. It's Me, Chelsea","September 13, 2019"
Los Tigres del Norte at Folsom Prison,"September 15, 2019"
