,0
1630,4.5
1631,5.3
1632,6.3
1633,6.8
1634,6.9
1635,7.0
1636,7.6
1637,7.8
1638,6.1
1639,7.2
1640,7.2
1641,6.1
1642,8.3
1643,7.8
1644,5.7
1645,5.4
1646,5.8
1647,5.6
1648,6.4
1649,5.8
1650,7.6
1651,7.7
1652,6.1
1653,6.5
1654,6.8
1655,5.1
1656,5.7
1657,6.1
1658,7.4
1659,6.0
1660,7.2
1661,5.8
1662,6.8
1663,7.0
1664,7.2
1665,6.4
1666,6.1
1667,6.7
1668,8.2
1669,5.0
1670,6.4
1671,8.0
1672,7.4
1673,6.1
1674,7.9
1675,5.5
1676,6.3
1677,6.4
1678,5.6
1679,5.4
1680,6.6
1681,6.4
1682,5.5
1683,5.5
1684,5.8
1685,7.0
1686,6.4
1687,6.1
1688,4.9
1689,6.0
1690,7.1
1691,7.1
1692,5.5
1693,6.9
1694,4.7
1695,5.4
1696,8.5
1697,4.7
1698,6.7
1699,5.7
1700,6.9
1701,5.9
1702,6.5
1703,7.2
1704,6.7
1705,6.2
1706,6.6
1707,6.2
1708,5.4
1709,6.0
1710,6.9
1711,6.5
1712,6.9
1713,5.4
1714,4.3
1715,5.2
1716,6.3
1717,5.2
1718,6.7
1719,6.3
1720,4.9
1721,7.0
1722,6.5
1723,6.2
1724,7.0
1725,6.0
1726,7.1
1727,7.7
1728,6.7
1729,6.6
1730,6.1
1731,4.6
1732,6.2
1733,5.8
1734,5.3
1735,5.5
1736,6.4
1737,6.8
1738,5.0
1739,5.5
1740,6.4
1741,3.5
1742,7.0
1743,6.1
1744,6.2
1745,6.6
1746,7.7
1747,6.0
1748,7.1
1749,6.3
1750,5.0
1751,7.0
1752,7.0
1753,5.5
1754,6.9
1755,6.5
1756,6.1
1757,5.4
1758,6.4
1759,6.2
1760,6.4
1761,6.6
1762,7.2
1763,5.1
1764,6.1
1765,6.1
1766,5.9
1767,5.5
1768,5.8
1769,5.9
1770,4.7
1771,5.7
1772,5.0
1773,5.3
1774,4.1
1775,6.8
1776,6.1
1777,8.2
1778,7.2
1779,5.9
1780,8.2
1781,6.5
1782,6.6
1783,6.4
1784,6.5
1785,6.7
1786,7.9
1787,6.3
1788,5.1
1789,5.9
1790,5.6
1791,3.5
1792,6.6
1793,6.1
1794,6.6
1795,5.9
1796,5.5
1797,6.5
1798,6.5
1799,6.7
1800,6.8
1801,6.9
1802,6.5
1803,6.3
1804,6.5
1805,6.0
1806,7.3
1807,4.6
1808,7.4
1809,7.3
1810,5.6
1811,7.2
1812,5.9
1813,6.6
1814,6.1
1815,6.0
1816,4.7
1817,6.2
1818,6.0
1819,5.4
1820,6.0
1821,6.4
1822,5.4
1823,5.7
1824,6.4
1825,6.1
1826,4.2
1827,5.2
1828,7.2
1829,7.2
1830,5.5
1831,6.2
1832,7.4
1833,5.2
1834,6.5
1835,6.5
1836,6.0
1837,5.6
1838,5.5
1839,6.9
1840,5.1
1841,6.3
1842,6.9
1843,7.5
1844,7.0
1845,6.6
1846,6.4
1847,5.1
1848,6.7
1849,5.8
1850,6.5
1851,6.3
1852,5.9
1853,6.7
1854,7.7
1855,6.3
1856,7.2
1857,5.0
1858,6.1
1859,5.4
1860,8.1
1861,6.5
1862,6.4
1863,5.9
1864,4.9
