,0
1178,230160822
1179,97070420
1180,64434742
1181,88761613
1182,58860694
1183,56848088
1184,51533841
1185,29203080
1186,7898910
1187,125347789
1188,50730153
1189,-57024481
1190,2103822
1191,-55546133
1192,-83422783
1193,123972777
1194,63927957
1195,2043188
1196,63468798
1197,73626636
1198,-5175649
1199,91911127
1200,-5085056
1201,123172337
1202,20159322
1203,24579532
1204,-46216950
1205,32027116
1206,16937118
1207,21142149
1208,7742993
1209,-12578737
1210,-10010718
1211,-51337097
1212,-59818140
1213,13023042
1214,-16398698
1215,-40439831
1216,32622414
1217,26658043
1218,4574174
1219,-21756970
1220,23288557
1221,-2407887
1222,-21960326
1223,7971597
1224,-33782651
1225,24286152
1226,-54821394
1227,-56710817
1228,151588825
1229,-61845991
1230,7379220
1231,-28912742
1232,-36555496
1233,207636973
1234,-56751855
1235,-16752203
1236,-12846465
1237,-26375748
1238,-13490696
1239,-25513248
1240,-44645278
1241,-14088630
1242,-50667276
1243,-36305153
1244,-21051730
1245,-19684716
1246,-46216950
1247,-27777279
1248,-19052498
1249,114447637
1250,-17044344
1251,-41659600
1252,-46827938
1253,-30046408
1254,51458181
1255,-27769626
1256,109703614
1257,63236272
1258,70963640
1259,81346555
1260,-4069668
1261,-156885
1262,-39437544
1263,59126201
1264,5309597
1265,54852135
1266,188301355
1267,190779032
1268,102166853
1269,113869574
1270,65153797
1271,84593202
1272,-42714837
1273,31152560
1274,17253621
1275,-44333866
1276,73351169
1277,-29513688
1278,-48133912
1279,26530512
1280,-27891530
1281,-50677533
1282,42805209
1283,-37468482
1284,7526574
1285,65284240
1286,-40741393
1287,-42901983
1288,-4102259
1289,-38152185
1290,-34901312
1291,74796045
1292,143933747
1293,131709363
1294,43522795
1295,146415377
1296,72879903
1297,56531312
1298,14891859
1299,28793794
1300,77331127
1301,64874731
1302,410887895
1303,82816221
1304,68606855
1305,252096886
1306,-16944468
1307,18902514
1308,198955899
1309,32157213
1310,17539281
1311,-12617413
1312,10303735
1313,-11329811
1314,65589228
1315,-31328837
1316,-42348875
1317,30965755
1318,483816299
1319,127362863
1320,361431718
1321,558088780
1322,408767914
1323,319535082
1324,143051682
1325,91084374
1326,241162175
1327,345830644
1328,175866649
1329,150358500
1330,212768754
1331,40235551
1332,111502194
1333,40762024
1334,277261935
1335,121774984
1336,61739136
1337,-46725141
1338,107414441
1339,37537247
1340,91323361
1341,28419651
1342,72125555
1343,25019242
1344,128277640
1345,76722626
1346,83902320
1347,20200791
1348,58167926
1349,65249945
1350,64262621
1351,40163414
1352,34139105
1353,9284949
1354,87491915
1355,181264917
1356,58252889
1357,148768105
1358,47806582
1359,27660672
1360,568664
1361,89461937
1362,106353895
1363,-41516128
1364,34572744
1365,107776542
1366,55101637
1367,43254950
1368,13100510
1369,32374287
1370,-2907727
1371,6844001
1372,-13171513
1373,1337549
1374,-16057135
1375,-13209524
1376,-5058901
1377,65554541
1378,-49896421
1379,44332955
1380,-4397560
1381,16192480
1382,52303708
1383,-18655086
1384,-44919960
1385,-10546899
1386,-39274912
1387,-18875272
1388,-4293519
1389,17579895
1390,-6397486
1391,12136273
1392,12800942
1393,4884737
1394,-32888762
1395,-16815848
1396,33032277
1397,-50556051
1398,-19530585
1399,-27007035
1400,-8655370
1401,-31694810
1402,25186191
1403,-43480323
1404,-18678645
1405,-28920296
1406,-12028685
1407,-26681599
1408,27594140
1409,8379265
1410,-43264506
1411,-49245396
1412,-46725141
1413,-22704174
1414,-57651510
1415,-27410697
1416,-48589110
1417,28303069
1418,-29065658
1419,335653045
1420,-21678181
1421,-2454615
1422,-23361848
1423,-76380006
1424,-36060821
1425,168462884
1426,30578195
1427,-72043683
1428,-43636533
1429,-38370222
1430,-8298849
1431,13807798
1432,289741642
1433,37948015
1434,184761493
1435,-36787598
1436,38462916
1437,117819327
1438,34425190
1439,-42353105
1440,26425191
1441,-2871387
1442,11342441
1443,-42913013
1444,866982420
1445,-8999103
1446,93611612
1447,-11883878
1448,174463635
1449,162367548
1450,-41255110
1451,90643213
1452,57171258
1453,284231594
1454,101751600
1455,27362549
1456,21580715
1457,41705059
1458,-14261309
1459,57333630
1460,128109836
1461,6660663
1462,55686396
1463,-25432360
1464,-5486122
1465,34542344
1466,63899863
1467,-18430322
1468,2455174
1469,-41612619
1470,-15295255
1471,-19214200
1472,-43284889
1473,-2772182
1474,-37958654
1475,-30941486
1476,-38967835
1477,98012480
1478,11306294
1479,145646701
1480,-17466089
1481,152380257
1482,143364718
1483,298141487
1484,154414477
1485,-8631447
1486,32502878
1487,47623173
1488,77342375
1489,116292106
1490,327261454
1491,260861571
1492,326238479
1493,470852782
1494,444991387
1495,182110087
1496,-17856371
1497,136950285
1498,247633398
1499,98376720
1500,179888084
1501,233283571
1502,249965733
1503,162559816
1504,122279813
1505,403364666
1506,206197344
1507,134148956
1508,162647736
1509,227430470
1510,125989562
1511,105460637
1512,150504711
1513,137463609
1514,93
1515,64693833
1516,181412121
1517,158132105
1518,94804938
1519,88702108
1520,18683009
1521,307184710
1522,92396648
1523,86856802
1524,56937551
1525,39091970
1526,96545837
1527,61655783
1528,72401869
1529,134537419
1530,38358036
1531,50559353
1532,59612682
1533,-37504645
1534,29345852
1535,191341088
1536,195244963
1537,148485935
1538,76645408
1539,116210624
1540,-33764089
1541,23566601
1542,27209203
1543,92777372
1544,50587341
1545,56939854
1546,65038324
1547,69345600
1548,42856567
1549,145514005
1550,33557505
1551,28056865
1552,53273772
1553,39999400
1554,63140246
1555,12641497
1556,16931955
1557,21206835
1558,37524627
1559,28538195
1560,6842852
1561,56690001
1562,5624920
1563,13618299
1564,-57000685
1565,21014411
1566,36108929
1567,-17261599
1568,25006940
1569,-1050268
1570,34077468
1571,-8157423
1572,72233492
1573,-32036128
1574,87318047
1575,-15788266
1576,26212070
1577,-9985140
1578,23802164
1579,1269457
1580,6363192
1581,-14223429
1582,-10559847
1583,81956708
1584,-15299993
1585,-11749056
1586,-16858726
1587,-29649057
1588,1485074
1589,1326805
1590,-18018240
1591,-18052490
1592,-20700131
1593,8799902
1594,644210
1595,-39011830
1596,-114034834
1597,-32459645
1598,6228140
1599,-28008117
1600,-18303706
1601,-13679187
1602,39173938
1603,-24249030
1604,35290825
1605,-14952407
1606,13091604
1607,-47506456
1608,19556437
1609,3728819
1610,6023682
1611,-24339940
1612,-17897880
1613,-33203200
1614,-31618136
1615,-30515593
1616,-35120953
1617,-28832515
1618,-32036128
1619,-31618136
1620,-37504645
1621,126645442
1622,272449470
1623,190420773
1624,9030200
1625,-38715117
1626,3767722
1627,-15089137
1628,51630970
1629,15623233
1630,-9463146
1631,678662919
1632,183000494
1633,482982306
1634,92878824
1635,57226865
1636,20702785
1637,85364177
1638,169434589
1639,74387252
1640,111028673
1641,44381573
1642,90547101
1643,75657047
1644,-13917287
1645,63893018
1646,74350833
1647,115126194
1648,275595305
1649,62721406
1650,103658224
1651,41523075
1652,75300037
1653,16201331
1654,75628349
1655,76744540
1656,13937508
1657,6417569
1658,77585254
1659,111950449
1660,8355447
1661,4929691
1662,26267488
1663,39718153
1664,-19822706
1665,12051426
1666,-24852950
1667,19399205
1668,-26239429
1669,-17719826
1670,-22130312
1671,-12092868
1672,-29790897
1673,-11223440
1674,35381013
1675,-804281
1676,43672535
1677,256717289
1678,221351587
1679,74937849
1680,9995322
1681,30384580
1682,40887341
1683,-3220977
1684,100967657
1685,-33754181
1686,44759846
1687,147252316
1688,20049394
1689,127515795
1690,38843317
1691,34765464
1692,-8824656
1693,-16222919
1694,-10833359
1695,263933
1696,-21665053
1697,64561692
1698,2280696
1699,-17048428
1700,65052360
1701,68946277
1702,-17
1703,5836857
1704,-7125233
1705,-21174963
1706,179368962
1707,103927043
1708,100293993
1709,348261310
1710,26890698
1711,273622740
1712,86223316
1713,52315752
1714,57122377
1715,51940468
1716,49910912
1717,38329365
1718,79492097
1719,58868669
1720,47178176
1721,66190942
1722,15993584
1723,-40635066
1724,19748950
1725,3432816
1726,95577098
1727,-8357161
1728,4009963
1729,-19483917
1730,14997456
1731,-35168972
1732,-34710105
1733,-27402384
1734,-7371930
1735,4767199
1736,69066680
1737,708605029
1738,585719397
1739,582672030
1740,273787165
1741,5091333
1742,233199832
1743,10599914
1744,550295852
1745,421210747
1746,110269992
1747,-21039251
1748,220980303
1749,-27764644
1750,104764203
1751,70853413
1752,168419217
1753,76556306
1754,78052583
1755,171624393
1756,137753022
1757,325448323
1758,163637439
1759,98602404
1760,103898047
1761,136382678
1762,44327983
1763,84753390
1764,102237279
1765,109981155
1766,81517141
1767,90831054
1768,111748252
1769,57312320
1770,117355044
1771,78634885
1772,31958749
1773,37997213
1774,117168759
1775,65598813
1776,-33375101
1777,31945755
1778,41768728
1779,61120657
1780,-43755420
1781,20758162
1782,16889760
1783,49955207
1784,52505852
1785,13642691
1786,14210828
1787,44829709
1788,56883472
1789,40028671
1790,38853184
1791,20749857
1792,16474974
1793,239684521
1794,62096339
1795,-24977186
1796,48141492
1797,68712933
1798,33824859
1799,7733246
1800,100125303
1801,11043633
1802,4640142
1803,23165932
1804,-2673607
1805,15132937
1806,53221849
1807,3179500
1808,15487984
1809,24083232
1810,-4522147
1811,-3888229
1812,101266498
1813,-1598166
1814,13497946
1815,18090385
1816,-10001238
1817,-5118367
1818,-16252013
1819,-30840552
1820,-11500350
1821,3801386
1822,-9243390
1823,-817835
1824,-5818726
1825,6589440
1826,36119188
1827,18942419
1828,16781261
1829,-19853663
1830,-15
1831,4091168
1832,-39072179
1833,-10715821
1834,-13927162
1835,-102523
1836,-21594935
1837,-2158127
1838,-15014446
1839,35175283
1840,-15936609
1841,-17853015
1842,-15604732
1843,78325766
1844,-20195106
1845,-16301391
1846,-15690177
1847,-4977272
1848,-30438411
1849,-31667047
1850,-30046408
1851,-28692839
1852,-5956233
1853,-27155438
1854,2891450
1855,-30046408
1856,37441774
1857,-31915317
1858,-25844658
1859,6227786
1860,-16433443
1861,26483955
1862,-20821188
1863,49781556
1864,-27769626
1865,-41771386
1866,-26696773
1867,-26696773
1868,31057891
1869,-17777123
1870,168131997
1871,156244325
1872,198065607
1873,-24551229
1874,49315804
1875,83514742
1876,113754846
1877,77800429
1878,25849296
1879,-32936856
1880,16184013
1881,20919075
1882,-30802258
1883,51007049
1884,-52015774
1885,-24235
1886,-10024771
1887,-5056096
1888,-14923168
1889,-20241748
1890,7277302
1891,66614482
1892,-28008131
1893,-25611035
1894,-38454638
1895,-1033489
1896,256591574
1897,89849622
1898,214755440
1899,868527721
1900,167763095
1901,92344833
1902,38890821
1903,70527143
1904,38743670
1905,-29133683
1906,26347766
1907,17281136
1908,-27042781
1909,-5652014
1910,11521735
1911,43967577
1912,-15828639
1913,-22483394
1914,7658463
1915,-11593316
1916,-15547250
1917,-8373395
1918,-19571030
1919,81573797
1920,23474153
1921,-7453714
1922,706896758
1923,457050209
1924,233062352
1925,69504912
1926,147368157
1927,216567283
1928,79513096
1929,90612769
